sequence_id,cluster,kingdom,kingdom_confidence,kingdom_source,phylum,phylum_confidence,phylum_source,class,class_confidence,class_source,order,order_confidence,order_source,family,family_confidence,family_source,genus,genus_confidence,genus_source,species,species_confidence,species_source,is_novel
seq_0,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_1,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_2,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_3,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_4,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_5,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_6,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_7,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_8,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_9,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_10,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_11,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_12,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_13,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_14,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_15,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_16,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
